site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
A,1,734,Zero-calorie,NA,185.07910906298002,NA,548.92089093702,preint
A,2,651,Zero-calorie,NA,81.29539170506914,NA,569.7046082949308,preint
A,3,194,Zero-calorie,NA,-376.8522273425499,NA,570.8522273425499,preint
A,4,178,Zero-calorie,567.7142857142857,-395.6351766513057,5.92089093702009,573.6351766513058,preint
A,5,652,Zero-calorie,569.7142857142858,141.4662058371736,-59.18049155145934,510.53379416282644,preint
A,6,789,Zero-calorie,584.9999999999999,189.1758832565284,14.824116743471677,599.8241167434716,preint
A,7,776,Zero-calorie,587.8571428571428,175.47081413210446,12.672043010752759,600.5291858678955,preint
A,8,748,Zero-calorie,586.7142857142857,185.07910906298002,-23.79339477726569,562.92089093702,preint
A,9,758,Zero-calorie,588.4285714285713,81.29539170506914,88.2760368663595,676.7046082949308,preint
A,10,214,Zero-calorie,575.4285714285713,-376.8522273425499,15.423655913978564,590.8522273425499,preint
A,11,170,Zero-calorie,570.2857142857142,-395.6351766513057,-4.650537634408465,565.6351766513058,preint
A,12,664,Zero-calorie,568.8571428571428,141.4662058371736,-46.32334869431634,522.5337941628264,preint
A,13,698,Zero-calorie,549.1428571428571,189.1758832565284,-40.31874039938555,508.82411674347156,preint
A,14,740,Zero-calorie,545.5714285714287,175.47081413210446,18.957757296466866,564.5291858678955,preint
A,15,738,Zero-calorie,551,185.07910906298002,1.9208909370199763,552.92089093702,preint
A,16,620,Zero-calorie,549,81.29539170506914,-10.295391705069164,538.7046082949308,preint
A,17,189,Zero-calorie,552.2857142857142,-376.8522273425499,13.566513056835674,565.8522273425499,preint
A,18,208,Zero-calorie,540.4285714285713,-395.6351766513057,63.206605222734424,603.6351766513058,preint
A,19,650,Zero-calorie,541.7142857142857,141.4662058371736,-33.18049155145923,508.53379416282644,preint
A,20,721,Zero-calorie,554.7142857142857,189.1758832565284,-22.890168970814102,531.8241167434716,preint
A,21,657,Zero-calorie,558.7142857142857,175.47081413210446,-77.18509984639013,481.52918586789554,preint
A,22,747,Zero-calorie,556.1428571428571,185.07910906298002,5.778033794162866,561.92089093702,dismes
A,23,711,Zero-calorie,563.7142857142857,81.29539170506914,65.99032258064517,629.7046082949308,dismes
A,24,217,Zero-calorie,574.8571428571428,-376.8522273425499,18.99508448540712,593.8522273425499,dismes
